Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:13:43,ICBP,RG,8800,4,F,BK,YP,D
15:13:11,ICBP,RG,8800,15,F,BK,YP,D
15:13:02,ICBP,RG,8800,15,F,BK,KK,D
15:12:30,ICBP,RG,8800,15,F,BK,YP,D
15:12:12,ICBP,RG,8800,1,F,BK,SQ,D
15:11:24,ICBP,RG,8800,113,F,BK,NI,D
15:09:03,ICBP,RG,8800,1,F,BK,HP,D
15:08:28,ICBP,RG,8800,44,F,BK,DX,D
15:06:01,ICBP,RG,8800,1,F,BK,PD,D
15:05:27,ICBP,RG,8800,4,F,BK,SH,D
15:05:23,ICBP,RG,8800,5,F,BK,KK,D
15:05:08,ICBP,RG,8800,3,F,BK,YP,D
15:04:20,ICBP,RG,8800,4,F,BK,XC,D
15:03:42,ICBP,RG,8800,30,F,BK,PD,D
15:03:30,ICBP,RG,8800,5,F,BK,KK,D
15:03:24,ICBP,RG,8800,50,F,BK,SQ,D
15:03:20,ICBP,RG,8800,5,F,BK,KK,D
15:03:08,ICBP,RG,8800,1,F,BK,CP,D
15:03:00,ICBP,RG,8800,7,F,BK,DR,D
15:02:05,ICBP,RG,8800,10,F,BK,YP,D
15:01:49,ICBP,RG,8800,1,F,BK,XC,D
15:01:00,ICBP,RG,8800,3,F,BK,AZ,D
15:00:00,ICBP,RG,8800,10,F,BK,KK,D
15:00:00,ICBP,RG,8800,5,F,BK,KK,D
15:00:00,ICBP,RG,8800,5,F,BK,KK,D
15:00:00,ICBP,RG,8800,1,F,BK,YP,D
15:00:00,ICBP,RG,8800,3,F,BK,DH,D
15:00:00,ICBP,RG,8800,5,F,BK,PD,D
15:00:00,ICBP,RG,8800,98,F,BK,LS,D
15:00:00,ICBP,RG,8800,50,F,BK,YP,D
15:00:00,ICBP,RG,8800,33,F,BK,XA,D
15:00:00,ICBP,RG,8800,11,D,DH,XA,D
15:00:00,ICBP,RG,8800,3,D,CC,XA,D
15:00:00,ICBP,RG,8800,1,D,YP,XA,D
15:00:00,ICBP,RG,8800,2,F,BK,XA,D
15:00:00,ICBP,RG,8800,2,F,BK,YP,D
15:00:00,ICBP,RG,8800,3,F,BK,DH,D
15:00:00,ICBP,RG,8800,5,F,BK,KK,D
15:00:00,ICBP,RG,8800,20,F,BK,DH,D
15:00:00,ICBP,RG,8800,4,F,BK,PD,D
15:00:00,ICBP,RG,8800,16,F,BK,YP,D
15:00:00,ICBP,RG,8800,150,F,BK,KK,D
15:00:00,ICBP,RG,8800,486,F,BK,YU,F
15:00:00,ICBP,RG,8800,157,F,YU,YU,F
15:00:00,ICBP,RG,8800,3,F,YU,ZP,F
15:00:00,ICBP,RG,8800,96,F,YU,ZP,F
15:00:00,ICBP,RG,8800,429,F,YU,ZP,F
15:00:00,ICBP,RG,8800,1,D,PD,ZP,F
15:00:00,ICBP,RG,8800,1,D,NI,ZP,F
15:00:00,ICBP,RG,8800,1,D,DH,ZP,F
15:00:00,ICBP,RG,8800,20,D,YP,ZP,F
15:00:00,ICBP,RG,8800,3,D,HP,ZP,F
15:00:00,ICBP,RG,8800,1,D,PD,ZP,F
15:00:00,ICBP,RG,8800,105,D,YP,ZP,F
15:00:00,ICBP,RG,8800,6,D,XC,ZP,F
15:00:00,ICBP,RG,8800,55,D,XC,ZP,F
15:00:00,ICBP,RG,8800,3,D,ZP,ZP,F
15:00:00,ICBP,RG,8800,30,F,YU,ZP,F
15:00:00,ICBP,RG,8800,48,F,YU,ZP,F
15:00:00,ICBP,RG,8800,59,F,YU,ZP,F
15:00:00,ICBP,RG,8800,41,F,YU,ZP,F
15:00:00,ICBP,RG,8800,35,F,YU,KZ,F
15:00:00,ICBP,RG,8800,21,F,YU,KZ,D
15:00:00,ICBP,RG,8800,2,F,YU,KZ,D
15:00:00,ICBP,RG,8800,93,F,YU,IF,D
15:00:00,ICBP,RG,8800,25,F,YU,BB,D
15:00:00,ICBP,RG,8800,759,F,YU,BB,D
15:00:00,ICBP,RG,8800,3,F,ZP,BB,D
15:00:00,ICBP,RG,8800,2,F,ZP,BB,D
15:00:00,ICBP,RG,8800,54,F,ZP,BB,D
15:00:00,ICBP,RG,8800,129,F,ZP,BB,D
15:00:00,ICBP,RG,8800,65,F,AK,BB,D
15:00:00,ICBP,RG,8800,174,D,PD,BB,D
15:00:00,ICBP,RG,8800,3,D,YU,BB,D
15:00:00,ICBP,RG,8800,222,D,OD,BB,D
15:00:00,ICBP,RG,8800,83,F,RX,BB,D
15:00:00,ICBP,RG,8800,10,F,RX,AK,F
15:00:00,ICBP,RG,8800,300,F,RX,AK,F
15:00:00,ICBP,RG,8800,24,F,RX,AK,F
15:00:00,ICBP,RG,8800,100,F,RX,RX,D
15:00:00,ICBP,RG,8800,168,F,RX,RX,D
14:49:59,ICBP,RG,8800,1,F,YU,ZP,F
14:49:59,ICBP,RG,8825,1,F,YU,YP,D
14:49:57,ICBP,RG,8825,4,F,ZP,YP,D
14:49:57,ICBP,RG,8825,2,F,YU,YP,D
14:49:56,ICBP,RG,8800,4,F,YU,ZP,F
14:49:56,ICBP,RG,8825,1,F,YU,YP,D
14:49:56,ICBP,RG,8825,5,F,ZP,YP,D
14:49:55,ICBP,RG,8800,4,F,YU,ZP,F
14:49:54,ICBP,RG,8825,2,F,YU,YP,D
14:49:53,ICBP,RG,8825,9,F,ZP,YP,D
14:49:53,ICBP,RG,8825,1,F,YU,YP,D
14:49:52,ICBP,RG,8825,9,F,YU,YP,D
14:49:52,ICBP,RG,8800,1,F,YU,ZP,F
14:49:51,ICBP,RG,8825,21,F,ZP,YP,D
14:49:51,ICBP,RG,8800,9,F,YU,ZP,F
14:49:51,ICBP,RG,8825,4,F,YU,YP,D
14:49:51,ICBP,RG,8825,34,F,YU,YP,D
14:49:51,ICBP,RG,8825,1,F,YU,EP,D
14:49:51,ICBP,RG,8825,7,F,YU,YP,D
14:49:51,ICBP,RG,8825,1,F,YU,YP,D
14:49:50,ICBP,RG,8825,7,F,ZP,YP,D
14:49:50,ICBP,RG,8825,2,F,YU,YP,D
14:49:50,ICBP,RG,8825,2,F,YU,YP,D
14:49:50,ICBP,RG,8825,16,F,YU,YP,D
14:49:50,ICBP,RG,8825,1,F,YU,NI,D
14:49:50,ICBP,RG,8825,3,F,YU,XC,D
14:49:50,ICBP,RG,8825,49,F,YU,CC,D
14:49:50,ICBP,RG,8825,78,F,YU,CC,D
14:49:50,ICBP,RG,8825,99,F,YU,CC,D
14:49:45,ICBP,RG,8800,1,F,YU,AK,F
14:49:45,ICBP,RG,8800,1,F,YU,AK,F
14:49:44,ICBP,RG,8800,19,F,YU,ZP,F
14:49:40,ICBP,RG,8825,2,F,ZP,CC,D
14:49:38,ICBP,RG,8825,28,F,ZP,CC,D
14:49:36,ICBP,RG,8825,3,D,NI,CC,D
14:49:32,ICBP,RG,8800,7,F,YU,PD,D
14:49:31,ICBP,RG,8800,7,F,YU,YP,D
14:49:30,ICBP,RG,8800,1,F,YU,AK,F
14:49:28,ICBP,RG,8800,3,F,YU,ZP,F
14:49:26,ICBP,RG,8825,1,D,XC,CC,D
14:49:26,ICBP,RG,8825,10,D,PD,CC,D
14:49:21,ICBP,RG,8825,12,F,ZP,CC,D
14:49:18,ICBP,RG,8825,13,F,YU,CC,D
14:49:08,ICBP,RG,8825,5,F,RX,CC,D
14:49:08,ICBP,RG,8825,1,F,RX,AK,F
14:49:08,ICBP,RG,8825,5,F,RX,YP,D
14:49:08,ICBP,RG,8825,3,F,RX,SQ,D
14:49:08,ICBP,RG,8825,1,F,RX,YP,D
14:49:08,ICBP,RG,8825,5,F,RX,KK,D
14:49:08,ICBP,RG,8825,2,F,RX,XC,D
14:49:08,ICBP,RG,8825,1,F,RX,PD,D
14:49:08,ICBP,RG,8825,1,F,RX,NI,D
14:49:08,ICBP,RG,8825,3,F,RX,ZP,F
14:49:01,ICBP,RG,8825,8,F,RX,ZP,F
14:49:00,ICBP,RG,8800,3,F,YU,AK,F
14:49:00,ICBP,RG,8800,1,F,YU,AK,F
14:48:56,ICBP,RG,8825,2,F,YU,ZP,F
14:48:56,ICBP,RG,8825,15,F,YU,ZP,F
14:48:56,ICBP,RG,8825,1,F,YU,XC,D
14:48:56,ICBP,RG,8825,1,F,YU,YP,D
14:48:56,ICBP,RG,8825,1,F,YU,PD,D
14:48:56,ICBP,RG,8825,15,F,YU,YU,D
14:48:56,ICBP,RG,8825,2,F,YU,YU,D
14:48:56,ICBP,RG,8825,3,F,YU,YU,D
14:48:56,ICBP,RG,8825,8,F,YU,YU,D
14:48:56,ICBP,RG,8825,17,F,YU,YU,D
14:48:55,ICBP,RG,8800,4,F,YU,ZP,F
14:48:54,ICBP,RG,8800,50,F,YU,XA,D
14:48:53,ICBP,RG,8825,7,D,CC,YU,D
14:48:51,ICBP,RG,8825,10,F,RX,YU,D
14:48:45,ICBP,RG,8800,1,F,YU,AK,F
14:48:42,ICBP,RG,8825,2,F,YU,YU,D
14:48:42,ICBP,RG,8825,30,F,YU,YU,D
14:48:42,ICBP,RG,8825,45,F,YU,YU,D
14:48:40,ICBP,RG,8825,2,F,YU,YU,D
14:48:39,ICBP,RG,8825,6,F,RX,YU,D
14:48:38,ICBP,RG,8825,2,F,YU,YU,D
14:48:38,ICBP,RG,8800,1,F,YU,AK,F
14:48:37,ICBP,RG,8825,1,F,RX,YU,D
14:48:37,ICBP,RG,8825,4,F,RX,TP,D
14:48:37,ICBP,RG,8800,25,F,YU,ZP,F
14:48:37,ICBP,RG,8800,20,F,YU,ZP,F
14:48:30,ICBP,RG,8800,1,F,YU,AK,F
14:48:30,ICBP,RG,8800,1,F,YU,AK,F
14:48:24,ICBP,RG,8825,3,F,YU,TP,D
14:48:23,ICBP,RG,8825,9,F,RX,TP,D
14:48:17,ICBP,RG,8800,118,F,YU,BB,D
14:48:16,ICBP,RG,8800,131,F,YU,YP,D
14:48:15,ICBP,RG,8800,110,F,YU,BB,D
14:48:13,ICBP,RG,8800,2,F,YU,XL,D
14:48:13,ICBP,RG,8825,2,F,YU,TP,D
14:48:12,ICBP,RG,8825,7,F,RX,TP,D
14:48:12,ICBP,RG,8825,1,F,RX,YP,D
14:48:12,ICBP,RG,8800,1,F,YU,BB,D
14:48:12,ICBP,RG,8800,1,F,YU,BB,D
14:48:10,ICBP,RG,8800,21,F,YU,BB,D
14:48:04,ICBP,RG,8825,3,F,YU,BB,D
14:48:03,ICBP,RG,8825,9,F,RX,BB,D
14:48:01,ICBP,RG,8800,4,F,YU,ZP,F
14:48:01,ICBP,RG,8800,6,F,YU,ZP,F
14:48:01,ICBP,RG,8800,29,F,YU,BB,D
14:48:00,ICBP,RG,8800,4,F,YU,AK,F
14:47:56,ICBP,RG,8825,2,F,YU,BB,D
14:47:56,ICBP,RG,8825,1,F,YU,BB,D
14:47:55,ICBP,RG,8825,5,D,DR,BB,D
14:47:55,ICBP,RG,8825,4,D,DR,BB,D
14:47:53,ICBP,RG,8825,2,F,YU,BB,D
14:47:52,ICBP,RG,8825,8,F,RX,BB,D
14:47:49,ICBP,RG,8825,1,F,YU,BB,D
14:47:48,ICBP,RG,8800,14,F,YU,BB,D
14:47:47,ICBP,RG,8825,1,F,YU,BB,D
14:47:47,ICBP,RG,8825,2,F,YU,BB,D
14:47:47,ICBP,RG,8825,12,D,DR,BB,D
14:47:46,ICBP,RG,8825,1,F,YU,BB,D
14:47:46,ICBP,RG,8825,2,F,YU,BB,D
14:47:45,ICBP,RG,8825,9,D,DR,BB,D
14:47:44,ICBP,RG,8800,4,F,YU,BB,D
14:47:42,ICBP,RG,8825,2,F,RX,BB,D
14:47:41,ICBP,RG,8800,19,F,YU,BB,D
14:47:41,ICBP,RG,8800,2,F,YU,AK,F
14:47:40,ICBP,RG,8800,1,F,YU,XC,D
14:47:33,ICBP,RG,8825,2,F,YU,BB,D
14:47:32,ICBP,RG,8825,5,D,DR,BB,D
14:47:32,ICBP,RG,8800,24,F,YU,BB,D
14:47:31,ICBP,RG,8825,3,F,YU,BB,D
14:47:31,ICBP,RG,8825,2,F,YU,BB,D
14:47:30,ICBP,RG,8825,9,D,DR,BB,D
14:47:30,ICBP,RG,8825,5,D,DR,BB,D
14:47:30,ICBP,RG,8825,6,D,DR,YB,D
14:47:29,ICBP,RG,8800,11,F,YU,BB,D
14:47:23,ICBP,RG,8800,11,F,YU,BB,D
14:47:23,ICBP,RG,8800,22,F,YU,BB,D
14:47:18,ICBP,RG,8800,12,F,YU,BB,D
14:47:13,ICBP,RG,8800,20,F,YU,BB,D
14:47:11,ICBP,RG,8800,7,F,YU,BB,D
14:47:11,ICBP,RG,8800,3,D,KK,BB,D
14:47:11,ICBP,RG,8800,17,F,ZP,BB,D
14:47:11,ICBP,RG,8800,13,F,YU,BB,D
14:47:11,ICBP,RG,8800,1,D,YP,BB,D
14:47:11,ICBP,RG,8800,10,D,BQ,BB,D
14:47:11,ICBP,RG,8800,19,D,BQ,BB,D
14:47:11,ICBP,RG,8800,10,D,XL,BB,D
14:47:11,ICBP,RG,8800,2,D,YP,BB,D
14:47:11,ICBP,RG,8800,14,F,ZP,BB,D
14:47:11,ICBP,RG,8800,35,F,ZP,BB,D
14:47:11,ICBP,RG,8800,39,D,DR,BB,D
14:47:11,ICBP,RG,8800,12,D,CC,BB,D
14:47:11,ICBP,RG,8800,20,D,XC,BB,D
14:47:09,ICBP,RG,8800,2,D,XC,YP,D
14:47:03,ICBP,RG,8800,11,D,XC,ZP,F
14:47:03,ICBP,RG,8800,6,D,XC,BB,D
14:47:03,ICBP,RG,8800,35,D,PD,BB,D
14:47:03,ICBP,RG,8800,1,D,XL,BB,D
14:47:03,ICBP,RG,8800,26,D,YU,BB,D
14:46:47,ICBP,RG,8825,2,F,YU,YB,D
14:46:46,ICBP,RG,8825,6,F,YU,YB,D
14:46:46,ICBP,RG,8825,26,F,YU,YB,D
14:46:45,ICBP,RG,8825,60,F,AK,YB,D
14:46:45,ICBP,RG,8825,1,F,AK,XC,D
14:46:45,ICBP,RG,8825,8,F,AK,XC,D
14:46:45,ICBP,RG,8825,11,D,DR,XC,D
14:46:45,ICBP,RG,8825,22,D,DR,YP,D
14:46:32,ICBP,RG,8825,2,F,YU,YP,D
14:46:32,ICBP,RG,8800,74,D,YU,BB,D
14:46:32,ICBP,RG,8800,10,D,BQ,BB,D
14:46:32,ICBP,RG,8800,25,D,YJ,BB,D
14:46:32,ICBP,RG,8800,19,D,BQ,BB,D
14:46:32,ICBP,RG,8800,29,F,ZP,BB,D
14:46:32,ICBP,RG,8800,54,F,ZP,BB,D
14:46:32,ICBP,RG,8800,197,F,BK,BB,D
14:46:32,ICBP,RG,8825,5,F,ZP,YP,D
14:46:21,ICBP,RG,8825,4,F,YU,YP,D
14:46:20,ICBP,RG,8800,10,F,BK,ZP,F
14:46:20,ICBP,RG,8800,16,F,BK,ZP,F
14:46:20,ICBP,RG,8825,17,F,ZP,YP,D
14:46:20,ICBP,RG,8825,1,F,ZP,LG,D
14:46:00,ICBP,RG,8800,11,F,BK,AK,F
14:45:43,ICBP,RG,8800,25,F,BK,KK,D
14:45:38,ICBP,RG,8825,1,D,NI,LG,D
14:45:37,ICBP,RG,8800,1,F,BK,SQ,D
14:45:13,ICBP,RG,8800,1,F,BK,ZP,F
14:45:10,ICBP,RG,8800,6,F,BK,XC,D
14:45:08,ICBP,RG,8800,4,F,BK,ZP,F
14:45:08,ICBP,RG,8800,267,F,BK,BB,D
14:45:07,ICBP,RG,8800,12,F,BK,ZP,F
14:45:07,ICBP,RG,8800,1,F,AK,ZP,F
14:43:52,ICBP,RG,8800,50,F,AK,YP,D
14:43:45,ICBP,RG,8800,7,F,AK,AK,F
14:43:20,ICBP,RG,8800,22,F,AK,ZP,F
14:43:20,ICBP,RG,8800,30,F,AK,BB,D
14:43:20,ICBP,RG,8800,3,D,HP,BB,D
14:43:20,ICBP,RG,8800,518,D,NI,BB,D
14:43:20,ICBP,RG,8800,38,D,NI,BB,D
14:43:20,ICBP,RG,8800,126,D,XL,BB,D
14:43:20,ICBP,RG,8800,30,D,YP,BB,D
14:43:20,ICBP,RG,8800,8,F,YU,BB,D
14:43:20,ICBP,RG,8800,28,F,ZP,BB,D
14:43:20,ICBP,RG,8800,25,D,YP,BB,D
14:43:20,ICBP,RG,8800,8,F,YU,BB,D
14:43:20,ICBP,RG,8800,3,D,YP,BB,D
14:43:20,ICBP,RG,8800,8,D,DR,BB,D
14:43:17,ICBP,RG,8800,12,D,DR,ZP,F
14:43:17,ICBP,RG,8800,6,D,DR,ZP,F
14:43:17,ICBP,RG,8825,279,D,LG,CS,F
14:43:02,ICBP,RG,8800,2,D,DR,YP,D
14:42:55,ICBP,RG,8825,31,D,DR,CS,F
14:42:30,ICBP,RG,8800,1,D,DR,SQ,D
14:42:07,ICBP,RG,8800,9,D,DR,ZP,F
14:42:07,ICBP,RG,8800,147,D,DR,BB,D
14:42:07,ICBP,RG,8800,7,F,YU,BB,D
14:42:07,ICBP,RG,8800,1,D,CC,BB,D
14:42:07,ICBP,RG,8800,2,D,NI,BB,D
14:42:07,ICBP,RG,8800,6,F,YU,BB,D
14:42:07,ICBP,RG,8800,5,D,PD,BB,D
14:42:07,ICBP,RG,8800,204,D,YU,BB,D
14:41:55,ICBP,RG,8800,1,D,YU,XC,D
14:41:46,ICBP,RG,8800,1,D,YU,XC,D
14:41:25,ICBP,RG,8800,3,D,YU,TP,D
14:41:21,ICBP,RG,8800,6,D,YU,AK,F
14:41:20,ICBP,RG,8800,8,D,YU,ZP,F
14:41:20,ICBP,RG,8800,16,D,YU,ZP,F
14:41:01,ICBP,RG,8800,61,D,YU,YU,D
14:41:01,ICBP,RG,8800,8,F,YU,YU,D
14:41:01,ICBP,RG,8800,6,D,NI,YU,D
14:41:01,ICBP,RG,8800,7,F,YU,YU,D
14:41:01,ICBP,RG,8800,1,D,DR,YU,D
14:41:01,ICBP,RG,8800,3,D,BQ,YU,D
14:41:01,ICBP,RG,8800,9,D,BQ,YU,D
14:41:01,ICBP,RG,8800,1,D,AZ,YU,D
14:41:01,ICBP,RG,8800,4,F,YU,YU,D
14:41:01,ICBP,RG,8800,2,F,YU,CC,D
14:40:28,ICBP,RG,8825,3,D,BQ,CS,F
14:40:24,ICBP,RG,8825,6,D,BQ,CS,F
14:40:20,ICBP,RG,8800,4,D,DR,ZP,F
14:40:17,ICBP,RG,8825,9,F,YU,CS,F
14:40:12,ICBP,RG,8800,2,D,DR,ZP,F
14:39:53,ICBP,RG,8800,1,D,DR,PD,D
14:39:49,ICBP,RG,8825,4,D,PD,CS,F
14:39:49,ICBP,RG,8825,5,D,PD,CS,F
14:39:49,ICBP,RG,8825,1,D,PD,CS,F
14:39:49,ICBP,RG,8825,1,D,PD,CS,F
14:39:49,ICBP,RG,8825,1,D,NI,CS,F
14:39:39,ICBP,RG,8825,25,D,DR,CS,F
14:39:38,ICBP,RG,8825,1,D,NI,CS,F
14:39:37,ICBP,RG,8800,5,D,DR,ZP,F
14:39:34,ICBP,RG,8825,43,D,DR,CS,F
14:39:10,ICBP,RG,8800,7,D,DR,AK,F
14:39:10,ICBP,RG,8800,12,D,DR,YU,F
14:39:10,ICBP,RG,8825,36,D,XC,CS,F
14:39:06,ICBP,RG,8800,1,D,DR,YU,F
14:39:04,ICBP,RG,8800,1,D,DR,YU,F
14:38:58,ICBP,RG,8800,2,D,DR,YU,F
14:38:52,ICBP,RG,8800,3,D,DR,YU,F
14:38:47,ICBP,RG,8800,7,D,DR,ZP,F
14:38:38,ICBP,RG,8800,5,D,DR,YP,D
14:38:38,ICBP,RG,8800,3,D,DR,YU,F
14:38:28,ICBP,RG,8825,11,F,YU,CS,F
14:38:27,ICBP,RG,8800,2,D,DR,YU,F
14:38:20,ICBP,RG,8800,2,D,DR,YU,F
14:38:10,ICBP,RG,8800,1,D,DR,YU,F
14:37:57,ICBP,RG,8800,25,D,DR,YU,F
