Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:13:15,INDF,RG,6375,43,F,KZ,GR,D
15:11:41,INDF,RG,6375,142,F,KZ,ZP,D
15:11:41,INDF,RG,6375,1,F,KZ,ZP,D
15:11:41,INDF,RG,6375,36,D,KK,ZP,D
15:11:41,INDF,RG,6375,10,D,XL,ZP,D
15:11:41,INDF,RG,6375,5,D,PD,ZP,D
15:11:41,INDF,RG,6375,3,F,KZ,ZP,D
15:11:41,INDF,RG,6375,5,D,YP,ZP,D
15:11:41,INDF,RG,6375,2,D,PD,ZP,D
15:11:41,INDF,RG,6375,39,F,KZ,ZP,D
15:11:41,INDF,RG,6375,1,F,KZ,ZP,D
15:11:41,INDF,RG,6375,14,F,KZ,ZP,D
15:11:41,INDF,RG,6375,5,D,PD,ZP,D
15:11:41,INDF,RG,6375,2,D,XC,ZP,D
15:11:41,INDF,RG,6375,4,D,DR,ZP,D
15:11:41,INDF,RG,6375,23,F,KZ,ZP,D
15:11:41,INDF,RG,6375,2,D,EP,ZP,D
15:11:41,INDF,RG,6375,3,D,CC,ZP,D
15:11:41,INDF,RG,6375,1,D,XC,ZP,D
15:11:41,INDF,RG,6375,1,D,PD,ZP,D
15:11:41,INDF,RG,6375,3,D,SQ,ZP,D
15:11:41,INDF,RG,6375,8,D,DH,ZP,D
15:11:41,INDF,RG,6375,2,D,CC,ZP,D
15:11:41,INDF,RG,6375,10,D,ES,ZP,D
15:11:41,INDF,RG,6375,1,D,KK,ZP,D
15:11:41,INDF,RG,6375,7,D,YP,ZP,D
15:11:41,INDF,RG,6375,39,D,OD,ZP,D
15:11:41,INDF,RG,6375,131,D,YP,ZP,D
15:07:36,INDF,RG,6375,50,D,YP,AG,D
15:07:06,INDF,RG,6375,1,D,YP,XA,D
15:06:24,INDF,RG,6375,4,D,YP,EP,D
15:06:12,INDF,RG,6375,11,D,YP,LG,D
15:05:44,INDF,RG,6375,3,D,YP,PD,D
15:04:26,INDF,RG,6375,20,D,YP,YB,D
15:03:13,INDF,RG,6375,222,D,YP,KK,D
15:02:26,INDF,RG,6375,3,D,YP,XC,D
15:02:20,INDF,RG,6375,1,D,YP,YB,D
15:02:18,INDF,RG,6375,18,D,YP,GR,D
15:02:18,INDF,RG,6375,1,D,YP,GR,D
15:02:18,INDF,RG,6375,49,D,IF,GR,D
15:02:18,INDF,RG,6375,12,D,YP,GR,D
15:01:41,INDF,RG,6375,38,D,YP,FZ,D
15:01:41,INDF,RG,6375,92,D,CC,FZ,D
15:00:00,INDF,RG,6375,5,D,CC,PD,D
15:00:00,INDF,RG,6375,9,D,CC,ZP,F
15:00:00,INDF,RG,6375,40,D,CC,YU,D
15:00:00,INDF,RG,6375,50,D,CC,AT,D
15:00:00,INDF,RG,6375,4,D,CC,OD,D
15:00:00,INDF,RG,6375,5,D,PD,OD,D
15:00:00,INDF,RG,6375,21,D,NI,OD,D
15:00:00,INDF,RG,6375,25,D,NI,MK,D
15:00:00,INDF,RG,6375,25,D,NI,ZP,F
15:00:00,INDF,RG,6375,2,D,KK,ZP,F
15:00:00,INDF,RG,6375,4,D,LS,ZP,F
15:00:00,INDF,RG,6375,15,D,CC,ZP,F
15:00:00,INDF,RG,6375,1,D,NI,ZP,F
15:00:00,INDF,RG,6375,1,D,SQ,ZP,F
15:00:00,INDF,RG,6375,15,D,YP,ZP,F
15:00:00,INDF,RG,6375,3,D,YP,ZP,F
15:00:00,INDF,RG,6375,2,D,YP,ZP,F
15:00:00,INDF,RG,6375,100,D,NI,ZP,F
15:00:00,INDF,RG,6375,8,D,DH,ZP,F
15:00:00,INDF,RG,6375,1,D,XC,ZP,F
15:00:00,INDF,RG,6375,59,D,LG,ZP,F
15:00:00,INDF,RG,6375,35,D,LG,ZP,F
15:00:00,INDF,RG,6375,3,D,PD,ZP,F
15:00:00,INDF,RG,6375,1,D,DH,ZP,F
15:00:00,INDF,RG,6375,6,D,XC,ZP,F
15:00:00,INDF,RG,6375,3,D,AZ,ZP,F
15:00:00,INDF,RG,6375,5,D,GR,ZP,F
15:00:00,INDF,RG,6375,1,D,YP,ZP,F
15:00:00,INDF,RG,6375,2,D,PD,ZP,F
15:00:00,INDF,RG,6375,3,D,GR,ZP,F
15:00:00,INDF,RG,6375,2,D,YP,ZP,F
15:00:00,INDF,RG,6375,1,D,YP,ZP,F
15:00:00,INDF,RG,6375,1,D,YP,ZP,F
15:00:00,INDF,RG,6375,18,F,YU,ZP,F
15:00:00,INDF,RG,6375,480,F,ZP,ZP,F
15:00:00,INDF,RG,6375,95,F,ZP,ZP,F
15:00:00,INDF,RG,6375,17,F,ZP,ZP,F
15:00:00,INDF,RG,6375,410,F,RX,ZP,F
15:00:00,INDF,RG,6375,687,F,RX,YP,D
15:00:00,INDF,RG,6375,8,F,KZ,YP,D
15:00:00,INDF,RG,6375,10,F,KZ,YP,D
15:00:00,INDF,RG,6375,69,F,KZ,YP,D
15:00:00,INDF,RG,6375,147,F,KZ,YP,D
15:00:00,INDF,RG,6375,79,F,KZ,YP,D
15:00:00,INDF,RG,6375,1,F,KZ,PD,D
15:00:00,INDF,RG,6375,5,F,KZ,DH,D
15:00:00,INDF,RG,6375,14,F,KZ,YP,D
15:00:00,INDF,RG,6375,4,F,KZ,YB,D
15:00:00,INDF,RG,6375,200,F,KZ,CC,D
15:00:00,INDF,RG,6375,5,F,KZ,DH,D
15:00:00,INDF,RG,6375,123,F,KZ,AK,F
15:00:00,INDF,RG,6375,21,F,KZ,CS,F
15:00:00,INDF,RG,6375,93,F,KZ,CS,D
15:00:00,INDF,RG,6375,33,F,KZ,CS,D
15:00:00,INDF,RG,6375,181,F,KZ,CS,D
15:00:00,INDF,RG,6375,83,F,KZ,OD,D
15:00:00,INDF,RG,6375,40,F,KZ,OD,D
15:00:00,INDF,RG,6375,44,F,BK,OD,D
15:00:00,INDF,RG,6375,78,F,CS,OD,D
15:00:00,INDF,RG,6375,397,F,ZP,OD,D
15:00:00,INDF,RG,6375,9,F,AK,OD,D
