Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:11:15,JSMR,RG,3880,3,D,XL,MG,D
15:08:04,JSMR,RG,3880,5,D,OD,MG,D
15:06:27,JSMR,RG,3880,1,D,AZ,MG,D
15:03:02,JSMR,RG,3880,25,D,NI,MG,D
15:00:00,JSMR,RG,3880,3,D,PD,MG,D
15:00:00,JSMR,RG,3880,3,D,AT,MG,D
15:00:00,JSMR,RG,3880,3,D,YP,MG,D
15:00:00,JSMR,RG,3880,3,D,XA,MG,D
15:00:00,JSMR,RG,3880,40,D,HP,MG,D
15:00:00,JSMR,RG,3880,10,D,HP,PD,D
15:00:00,JSMR,RG,3880,80,D,HP,PD,D
15:00:00,JSMR,RG,3880,10,D,PD,PD,D
15:00:00,JSMR,RG,3880,43,D,PD,YU,D
15:00:00,JSMR,RG,3880,1,D,PD,PD,D
15:00:00,JSMR,RG,3880,7,D,PD,CC,D
15:00:00,JSMR,RG,3880,1,D,PD,HP,D
15:00:00,JSMR,RG,3880,2,D,PD,LG,D
14:49:40,JSMR,RG,3870,3,D,YP,YU,D
14:49:40,JSMR,RG,3870,4,D,NI,YU,D
14:49:32,JSMR,RG,3870,1,D,NI,XL,D
14:49:00,JSMR,RG,3880,68,D,AK,MG,D
14:49:00,JSMR,RG,3880,7,D,AK,MG,D
14:49:00,JSMR,RG,3880,9,D,AK,MG,D
14:49:00,JSMR,RG,3880,6,D,AK,MG,D
14:48:59,JSMR,RG,3880,25,D,NI,MG,D
14:48:30,JSMR,RG,3880,42,D,AK,MG,D
14:48:30,JSMR,RG,3880,11,D,AK,CS,F
14:48:30,JSMR,RG,3880,19,D,AK,CS,F
14:48:19,JSMR,RG,3880,12,D,AK,CS,F
14:48:09,JSMR,RG,3870,8,D,AK,YP,D
14:48:09,JSMR,RG,3870,7,D,AK,YP,D
14:47:55,JSMR,RG,3870,1,D,AK,ZP,D
14:47:41,JSMR,RG,3880,85,D,AK,CS,F
14:47:41,JSMR,RG,3870,2,D,AK,ZP,D
14:47:30,JSMR,RG,3880,2,D,CC,CS,F
14:47:22,JSMR,RG,3880,32,D,AK,CS,F
14:47:21,JSMR,RG,3870,3,D,AK,ZP,D
14:47:00,JSMR,RG,3880,22,D,AK,CS,F
14:47:00,JSMR,RG,3880,26,D,AK,YP,D
14:45:58,JSMR,RG,3870,2,D,AK,YU,D
14:44:45,JSMR,RG,3880,18,D,AK,YP,D
14:44:45,JSMR,RG,3880,50,D,AK,CC,D
14:44:45,JSMR,RG,3880,9,D,AK,XL,D
14:44:45,JSMR,RG,3880,10,D,AK,YP,D
14:44:45,JSMR,RG,3880,36,D,AK,MG,D
14:44:04,JSMR,RG,3880,58,D,AK,MG,D
14:43:45,JSMR,RG,3870,7,D,AK,KK,D
14:43:36,JSMR,RG,3870,25,D,AK,GR,D
14:42:49,JSMR,RG,3880,79,D,AK,MG,D
14:41:57,JSMR,RG,3870,1,D,AK,YP,D
14:41:57,JSMR,RG,3870,3,D,IP,YP,D
14:41:30,JSMR,RG,3880,33,D,YU,MG,D
14:41:17,JSMR,RG,3870,17,D,IP,CC,D
14:41:04,JSMR,RG,3880,171,D,AK,MG,D
14:40:00,JSMR,RG,3880,23,D,YU,MG,D
14:39:00,JSMR,RG,3880,100,D,AK,MG,D
14:39:00,JSMR,RG,3880,2,D,AK,YP,D
14:36:30,JSMR,RG,3880,1,D,AK,YP,D
14:36:30,JSMR,RG,3880,20,D,AK,GR,D
14:36:30,JSMR,RG,3880,6,D,AK,XC,D
14:36:30,JSMR,RG,3880,2,D,AK,YP,D
14:36:30,JSMR,RG,3880,76,D,AK,MG,D
14:34:15,JSMR,RG,3880,57,D,AK,MG,D
14:34:00,JSMR,RG,3880,31,D,YU,MG,D
14:33:33,JSMR,RG,3880,1,D,YP,MG,D
14:33:30,JSMR,RG,3880,35,D,AK,MG,D
14:33:30,JSMR,RG,3880,13,D,AK,YP,D
14:32:45,JSMR,RG,3880,2,D,AK,YP,D
14:32:45,JSMR,RG,3880,20,D,AK,GR,D
14:32:45,JSMR,RG,3880,27,D,AK,YP,D
14:32:45,JSMR,RG,3880,3,D,AK,XC,D
14:32:45,JSMR,RG,3880,14,D,AK,MG,D
14:32:30,JSMR,RG,3880,40,D,AK,MG,D
14:32:19,JSMR,RG,3870,5,D,IP,YP,D
14:32:13,JSMR,RG,3870,20,D,SQ,YP,D
14:32:00,JSMR,RG,3870,26,D,AK,YP,D
14:32:00,JSMR,RG,3870,1,D,AK,XC,D
14:32:00,JSMR,RG,3870,5,D,AK,ZP,D
14:32:00,JSMR,RG,3870,2,D,AK,YP,D
14:32:00,JSMR,RG,3870,1,D,AK,YP,D
14:32:00,JSMR,RG,3870,1,D,AK,YP,D
14:32:00,JSMR,RG,3870,2,D,AK,AZ,D
14:31:30,JSMR,RG,3870,3,D,AK,AZ,D
14:31:30,JSMR,RG,3870,41,D,AK,YP,D
14:31:00,JSMR,RG,3870,40,D,AK,YP,D
14:30:30,JSMR,RG,3870,40,D,AK,YP,D
14:29:27,JSMR,RG,3860,3,D,AK,NI,D
14:27:57,JSMR,RG,3860,2,D,AK,GR,D
14:27:57,JSMR,RG,3860,11,D,YU,GR,D
