Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:11:49,KRAS,RG,480,3,D,XC,HP,D
15:10:33,KRAS,RG,480,100,D,XC,KK,D
15:10:31,KRAS,RG,480,67,D,XC,MG,D
15:10:31,KRAS,RG,480,133,D,CC,MG,D
15:10:24,KRAS,RG,480,367,D,CC,ES,D
15:10:24,KRAS,RG,480,333,D,DH,ES,D
15:08:35,KRAS,RG,480,1,D,DH,AT,D
15:07:49,KRAS,RG,480,166,D,DH,GR,D
15:07:49,KRAS,RG,480,47,D,AT,GR,D
15:06:01,KRAS,RG,480,200,D,AT,MG,D
15:05:45,KRAS,RG,480,200,D,AT,MG,D
15:05:45,KRAS,RG,480,3,D,AT,MG,D
15:05:10,KRAS,RG,480,197,D,HP,MG,D
15:05:10,KRAS,RG,480,1,D,HP,PD,D
15:05:10,KRAS,RG,480,30,D,HP,XC,D
15:05:10,KRAS,RG,480,2049,D,HP,CP,D
15:05:07,KRAS,RG,480,197,D,LG,CP,D
15:05:02,KRAS,RG,480,4,D,EP,CP,D
15:05:02,KRAS,RG,480,5,D,AG,CP,D
15:05:02,KRAS,RG,480,30,D,YP,CP,D
15:05:01,KRAS,RG,480,50,D,YP,CP,D
15:05:00,KRAS,RG,480,1,D,KK,CP,D
15:05:00,KRAS,RG,480,12,D,XC,CP,D
15:05:00,KRAS,RG,480,50,D,PD,CP,D
15:05:00,KRAS,RG,480,10,D,GR,CP,D
15:05:00,KRAS,RG,480,15,D,DH,CP,D
15:00:00,KRAS,RG,480,5,D,XC,CP,D
15:00:00,KRAS,RG,480,6,D,XC,CP,D
15:00:00,KRAS,RG,480,250,D,DH,CP,D
15:00:00,KRAS,RG,480,515,D,AT,CP,D
15:00:00,KRAS,RG,480,25,D,DH,CP,D
15:00:00,KRAS,RG,480,1776,D,MU,CP,D
15:00:00,KRAS,RG,480,100,D,MU,CC,D
15:00:00,KRAS,RG,480,14,D,MU,EP,D
15:00:00,KRAS,RG,480,1999,D,MU,AG,D
15:00:00,KRAS,RG,480,300,D,MU,YJ,D
15:00:00,KRAS,RG,480,50,D,MU,YP,D
15:00:00,KRAS,RG,480,40,D,MU,OD,D
15:00:00,KRAS,RG,480,721,D,MU,AI,D
15:00:00,KRAS,RG,480,50,D,YP,AI,D
15:00:00,KRAS,RG,480,15,D,PD,AI,D
15:00:00,KRAS,RG,480,1,D,NI,AI,D
15:00:00,KRAS,RG,480,500,D,ZP,AI,D
15:00:00,KRAS,RG,480,913,F,YU,AI,D
15:00:00,KRAS,RG,480,500,F,YU,ID,D
15:00:00,KRAS,RG,480,500,D,XA,ID,D
15:00:00,KRAS,RG,480,20,D,NI,ID,D
15:00:00,KRAS,RG,480,30,D,IP,ID,D
15:00:00,KRAS,RG,480,100,D,IP,PD,D
15:00:00,KRAS,RG,480,38,D,IP,SS,D
15:00:00,KRAS,RG,480,500,D,NI,SS,D
15:00:00,KRAS,RG,480,20,D,EP,SS,D
15:00:00,KRAS,RG,480,5,D,OD,SS,D
15:00:00,KRAS,RG,480,20,D,AT,SS,D
15:00:00,KRAS,RG,480,5,D,GR,SS,D
15:00:00,KRAS,RG,480,300,D,KK,SS,D
15:00:00,KRAS,RG,480,30,D,PD,SS,D
15:00:00,KRAS,RG,480,39,D,YP,SS,D
