Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:13:48,MYOR,RG,1635,1,D,FS,KZ,F
15:13:48,MYOR,RG,1635,1,D,FS,KZ,F
15:13:47,MYOR,RG,1635,2,D,FS,KZ,F
15:13:47,MYOR,RG,1635,2,D,FS,KZ,F
15:13:46,MYOR,RG,1635,6,D,FS,KZ,F
15:13:46,MYOR,RG,1635,2,D,YP,KZ,F
15:13:46,MYOR,RG,1635,15,D,YP,KZ,F
15:13:46,MYOR,RG,1635,22,D,YP,KZ,F
15:13:46,MYOR,RG,1635,200,D,YP,SQ,D
15:12:42,MYOR,RG,1635,1,D,YP,KZ,F
15:12:42,MYOR,RG,1635,1,D,YP,KZ,F
15:12:42,MYOR,RG,1635,12,D,YP,AZ,D
15:11:13,MYOR,RG,1635,2,D,YP,KZ,F
15:11:13,MYOR,RG,1635,2,D,YP,KZ,F
15:11:13,MYOR,RG,1635,14,D,YP,XC,D
15:10:34,MYOR,RG,1635,1,D,YP,KZ,F
15:10:34,MYOR,RG,1635,1,D,YP,KZ,F
15:10:34,MYOR,RG,1635,6,D,YP,CC,D
15:10:29,MYOR,RG,1635,1,D,YP,XL,D
15:08:54,MYOR,RG,1635,1,D,YP,KZ,F
15:08:54,MYOR,RG,1635,1,D,YP,KZ,F
15:08:53,MYOR,RG,1635,10,D,YP,CC,D
15:07:26,MYOR,RG,1635,1,D,YP,KZ,F
15:07:26,MYOR,RG,1635,1,D,YP,KZ,F
15:07:25,MYOR,RG,1635,6,D,YP,KZ,F
15:07:25,MYOR,RG,1635,5,D,YP,KZ,F
15:07:25,MYOR,RG,1635,50,D,YP,YP,D
15:07:13,MYOR,RG,1635,1,D,YP,KZ,F
15:07:12,MYOR,RG,1635,1,D,YP,KZ,F
15:07:11,MYOR,RG,1635,1,D,YP,KZ,F
15:07:11,MYOR,RG,1635,1,D,YP,KZ,F
15:07:10,MYOR,RG,1635,10,D,YP,PD,D
15:07:10,MYOR,RG,1635,5,D,YP,KZ,F
15:07:10,MYOR,RG,1635,6,D,YP,KZ,F
15:07:09,MYOR,RG,1635,50,D,YP,YP,D
15:07:03,MYOR,RG,1635,1,D,YP,KZ,F
15:07:02,MYOR,RG,1635,4,D,YP,KZ,F
15:07:02,MYOR,RG,1635,4,D,YP,KZ,F
15:07:02,MYOR,RG,1635,35,D,YP,PD,D
15:06:41,MYOR,RG,1635,1,D,YP,KZ,F
15:06:40,MYOR,RG,1635,3,D,YP,XC,D
15:05:21,MYOR,RG,1635,1,D,YP,KZ,F
15:05:21,MYOR,RG,1635,5,D,YP,KK,D
15:04:17,MYOR,RG,1635,1,D,YP,KZ,F
15:04:16,MYOR,RG,1635,2,D,YP,KZ,F
15:04:16,MYOR,RG,1635,2,D,YP,KZ,F
15:04:15,MYOR,RG,1635,2,D,YP,KZ,F
15:04:15,MYOR,RG,1635,2,D,YP,KZ,F
15:04:14,MYOR,RG,1635,9,D,YP,PD,D
15:04:14,MYOR,RG,1635,1,D,PD,PD,D
15:04:14,MYOR,RG,1635,1,D,SQ,PD,D
15:04:14,MYOR,RG,1635,5,D,XC,PD,D
15:04:14,MYOR,RG,1635,19,D,SQ,PD,D
15:04:12,MYOR,RG,1635,1,D,SQ,KZ,F
15:04:11,MYOR,RG,1635,3,D,OD,PD,D
15:03:14,MYOR,RG,1635,1,D,OD,KZ,F
15:03:13,MYOR,RG,1635,2,D,OD,KZ,F
15:03:13,MYOR,RG,1635,2,D,OD,KZ,F
15:03:12,MYOR,RG,1635,2,D,OD,KZ,F
15:03:12,MYOR,RG,1635,1,D,XC,KZ,F
15:03:11,MYOR,RG,1635,13,D,XC,KZ,F
15:03:11,MYOR,RG,1635,1,D,XC,KZ,F
15:03:11,MYOR,RG,1635,1,D,PD,KZ,F
15:03:11,MYOR,RG,1635,2,D,YP,KZ,F
15:03:11,MYOR,RG,1635,1,D,CC,KZ,F
15:03:11,MYOR,RG,1635,8,D,CC,KZ,F
15:03:10,MYOR,RG,1635,12,D,CC,KZ,F
15:03:10,MYOR,RG,1635,5,D,CC,KZ,F
15:03:10,MYOR,RG,1635,1,D,XC,KZ,F
15:03:10,MYOR,RG,1635,5,D,CC,KZ,F
15:03:09,MYOR,RG,1635,6,D,PD,KZ,F
15:03:09,MYOR,RG,1635,6,D,ZP,KZ,F
