Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:14:22,NETV,RG,695,5,D,YP,YB,D
15:14:17,NETV,RG,695,5,D,YP,XL,D
15:14:07,NETV,RG,695,11,D,YP,XC,D
15:14:03,NETV,RG,695,19,D,YP,CC,D
15:14:02,NETV,RG,695,12,D,YP,XC,D
15:14:01,NETV,RG,695,1,D,YP,XC,D
15:13:59,NETV,RG,695,5,D,YP,YP,D
15:13:56,NETV,RG,695,470,D,YP,BQ,D
15:13:49,NETV,RG,695,37,D,YP,PD,D
15:13:37,NETV,RG,695,1,D,YP,EP,D
15:13:35,NETV,RG,695,4,D,YP,XC,D
15:13:24,NETV,RG,695,20,D,YP,LS,D
15:13:21,NETV,RG,695,1,D,YP,YP,D
15:13:21,NETV,RG,695,30,D,YP,XC,D
15:13:17,NETV,RG,695,200,D,YP,CC,D
15:13:16,NETV,RG,695,2,D,YP,DR,D
15:13:16,NETV,RG,695,100,D,YP,PD,D
15:13:15,NETV,RG,695,50,D,YP,YB,D
15:13:14,NETV,RG,695,25,D,YP,XC,D
15:13:11,NETV,RG,695,14,D,YP,PD,D
15:13:05,NETV,RG,695,5,D,YP,XC,D
15:12:56,NETV,RG,695,116,D,YP,AZ,D
15:12:43,NETV,RG,695,1,D,YP,YP,D
15:12:36,NETV,RG,695,63,D,YP,XC,D
15:12:27,NETV,RG,695,2,D,YP,XL,D
15:12:20,NETV,RG,695,5,D,YP,DR,D
15:12:08,NETV,RG,695,45,D,YP,XC,D
15:11:46,NETV,RG,695,100,D,YP,NI,D
15:11:42,NETV,RG,695,10,D,YP,XC,D
15:11:40,NETV,RG,695,180,D,YP,TP,D
15:11:38,NETV,RG,695,50,D,YP,AG,D
15:11:35,NETV,RG,695,25,D,YP,AZ,D
15:11:32,NETV,RG,695,1,D,YP,CC,D
15:11:31,NETV,RG,695,8,D,YP,XC,D
15:11:30,NETV,RG,695,10,D,YP,XC,D
15:11:25,NETV,RG,695,10,D,YP,DR,D
15:11:23,NETV,RG,695,1,D,YP,PD,D
15:11:17,NETV,RG,695,300,D,YP,YP,D
15:11:02,NETV,RG,695,4,D,YP,PD,D
15:10:57,NETV,RG,695,5,D,YP,XL,D
15:10:55,NETV,RG,695,1,D,YP,CC,D
15:10:51,NETV,RG,695,100,D,YP,PD,D
15:10:44,NETV,RG,695,2,D,YP,XC,D
15:10:37,NETV,RG,695,1,D,YP,XC,D
15:10:35,NETV,RG,695,100,D,YP,EP,D
15:10:35,NETV,RG,695,10,D,YP,XC,D
15:10:33,NETV,RG,695,1,D,YP,SQ,D
15:10:20,NETV,RG,695,11,D,YP,XC,D
15:10:19,NETV,RG,695,10,D,YP,XC,D
15:10:13,NETV,RG,695,3,D,YP,XC,D
15:10:12,NETV,RG,695,5,D,YP,XC,D
15:10:09,NETV,RG,695,50,D,YP,XC,D
15:10:09,NETV,RG,695,54,D,YP,XL,D
15:10:03,NETV,RG,695,2,D,YP,BQ,D
15:10:01,NETV,RG,695,88,D,YP,CC,D
15:10:00,NETV,RG,695,200,D,YP,GR,D
15:09:58,NETV,RG,695,1,D,YP,XA,D
15:09:56,NETV,RG,695,50,D,YP,YP,D
15:09:55,NETV,RG,695,20,D,YP,XL,D
15:09:50,NETV,RG,695,5,D,YP,AI,D
15:09:49,NETV,RG,695,80,D,YP,CC,D
15:09:47,NETV,RG,695,7,D,YP,CC,D
15:09:46,NETV,RG,695,234,D,YP,GR,D
15:09:40,NETV,RG,695,44,D,YP,XC,D
15:09:36,NETV,RG,695,3,D,YP,CC,D
15:09:36,NETV,RG,695,30,D,YP,XC,D
15:09:34,NETV,RG,695,100,D,YP,YP,D
15:09:23,NETV,RG,695,148,D,YP,YP,D
15:09:20,NETV,RG,695,25,D,YP,CC,D
15:09:17,NETV,RG,695,500,D,YP,LG,D
15:09:15,NETV,RG,695,263,D,YP,GR,D
15:09:14,NETV,RG,695,50,D,YP,XL,D
15:09:05,NETV,RG,695,5,D,YP,XL,D
15:08:59,NETV,RG,695,100,D,YP,YP,D
15:08:41,NETV,RG,695,363,D,YP,GR,D
15:08:41,NETV,RG,695,120,D,YP,GR,D
15:08:41,NETV,RG,695,1,D,XC,GR,D
15:08:41,NETV,RG,695,89,D,XC,GR,D
15:08:41,NETV,RG,695,51,D,XL,GR,D
15:08:41,NETV,RG,695,1,D,XC,GR,D
15:08:41,NETV,RG,695,22,D,XC,GR,D
15:08:41,NETV,RG,695,5,D,DH,GR,D
15:08:41,NETV,RG,695,10,D,YP,GR,D
15:08:41,NETV,RG,695,2,D,XC,GR,D
15:08:41,NETV,RG,695,6,D,XC,GR,D
15:08:41,NETV,RG,695,330,D,YP,GR,D
15:08:41,NETV,RG,695,8,D,YP,XC,D
15:08:41,NETV,RG,695,61,D,YP,ZP,D
15:08:41,NETV,RG,695,9,D,YP,PD,D
15:08:39,NETV,RG,695,100,D,YP,CC,D
15:08:38,NETV,RG,695,200,D,YP,YP,D
15:08:35,NETV,RG,695,1,D,YP,CC,D
15:08:35,NETV,RG,695,140,D,YP,YP,D
15:08:31,NETV,RG,695,60,D,YP,YP,D
15:08:30,NETV,RG,695,10,D,YP,XC,D
15:08:22,NETV,RG,695,30,D,YP,XC,D
15:08:15,NETV,RG,695,19,D,YP,XC,D
15:08:14,NETV,RG,695,100,D,YP,YP,D
15:08:14,NETV,RG,695,40,D,YP,NI,D
15:08:12,NETV,RG,695,1,D,YP,XC,D
15:08:11,NETV,RG,695,1,D,YP,YP,D
