Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:14:58,PTBA,RG,3740,20,D,RF,PD,D
15:14:28,PTBA,RG,3740,5,D,XL,PD,D
15:14:27,PTBA,RG,3740,13,D,YP,PD,D
15:14:06,PTBA,RG,3740,1,D,DR,PD,D
15:13:55,PTBA,RG,3740,1,D,PD,PD,D
15:13:47,PTBA,RG,3740,5,D,XL,PD,D
15:13:38,PTBA,RG,3740,2,D,DH,PD,D
15:13:24,PTBA,RG,3740,5,D,XL,PD,D
15:13:23,PTBA,RG,3740,2,D,XL,PD,D
15:13:23,PTBA,RG,3740,1,D,PD,PD,D
15:13:15,PTBA,RG,3740,8,D,DH,PD,D
15:13:13,PTBA,RG,3740,3,D,DR,PD,D
15:13:06,PTBA,RG,3740,1,D,DX,PD,D
15:13:02,PTBA,RG,3740,10,D,DH,PD,D
15:12:56,PTBA,RG,3740,1,D,BQ,PD,D
15:12:44,PTBA,RG,3740,2,D,DR,PD,D
15:12:39,PTBA,RG,3740,3,D,BQ,PD,D
15:11:51,PTBA,RG,3740,10,D,YP,PD,D
15:11:41,PTBA,RG,3740,24,D,EP,PD,D
15:11:41,PTBA,RG,3740,1,D,EP,YU,D
15:11:39,PTBA,RG,3740,10,D,CC,DH,D
15:11:03,PTBA,RG,3740,100,D,PD,DH,D
15:11:01,PTBA,RG,3740,2,D,GR,DH,D
15:10:42,PTBA,RG,3740,3,D,GR,DH,D
15:10:42,PTBA,RG,3740,100,D,YP,DH,D
15:10:27,PTBA,RG,3740,2,D,YP,DH,D
15:10:20,PTBA,RG,3740,1,D,XC,DH,D
15:10:14,PTBA,RG,3740,1,D,KK,DH,D
15:10:03,PTBA,RG,3740,5,D,GR,DH,D
15:09:44,PTBA,RG,3740,5,D,XL,DH,D
15:09:27,PTBA,RG,3740,2,D,DH,DH,D
15:09:27,PTBA,RG,3740,43,D,XC,DH,D
15:09:27,PTBA,RG,3740,80,D,BQ,DH,D
15:09:27,PTBA,RG,3740,1,D,XC,DH,D
15:09:27,PTBA,RG,3740,10,D,CC,DH,D
15:09:27,PTBA,RG,3740,1,D,YP,DH,D
15:09:27,PTBA,RG,3740,22,D,NI,DH,D
15:09:27,PTBA,RG,3740,5,D,PD,DH,D
15:09:27,PTBA,RG,3740,3,D,NI,DH,D
15:09:27,PTBA,RG,3740,13,D,YP,DH,D
15:09:27,PTBA,RG,3740,5,D,XC,DH,D
15:09:27,PTBA,RG,3740,1,D,CC,DH,D
15:09:27,PTBA,RG,3740,1,D,PD,DH,D
15:09:27,PTBA,RG,3740,3,D,DR,DH,D
15:09:27,PTBA,RG,3740,25,D,PD,DH,D
15:09:27,PTBA,RG,3740,1,D,YP,DH,D
15:09:27,PTBA,RG,3740,5,D,PD,DH,D
15:09:27,PTBA,RG,3740,9,D,GR,DH,D
15:09:27,PTBA,RG,3740,41,D,OD,DH,D
15:09:19,PTBA,RG,3740,2,D,OD,YU,D
15:09:07,PTBA,RG,3740,1,D,OD,XC,D
15:08:42,PTBA,RG,3740,21,D,OD,DR,D
15:08:34,PTBA,RG,3740,27,D,OD,PC,D
15:08:34,PTBA,RG,3740,2,D,DR,PC,D
15:08:34,PTBA,RG,3740,10,D,CC,PC,D
15:08:34,PTBA,RG,3740,8,D,PD,PC,D
15:08:34,PTBA,RG,3740,4,D,PD,PC,D
15:08:34,PTBA,RG,3740,1,D,OD,PC,D
15:08:34,PTBA,RG,3740,1,D,XC,PC,D
15:08:34,PTBA,RG,3740,1,D,YP,PC,D
15:08:34,PTBA,RG,3740,2,D,XC,PC,D
15:08:34,PTBA,RG,3740,1,D,PD,PC,D
15:08:34,PTBA,RG,3740,8,D,CC,PC,D
15:08:34,PTBA,RG,3740,5,D,OD,PC,D
15:08:34,PTBA,RG,3740,1,D,XL,PC,D
15:08:34,PTBA,RG,3740,1,D,PD,PC,D
15:08:34,PTBA,RG,3740,25,D,YP,PC,D
15:08:34,PTBA,RG,3740,1,D,XC,PC,D
15:08:34,PTBA,RG,3740,1,D,XC,PC,D
15:08:34,PTBA,RG,3740,1,D,YP,PC,D
15:08:34,PTBA,RG,3740,1,D,PD,PC,D
15:08:34,PTBA,RG,3740,22,D,NI,PC,D
15:08:20,PTBA,RG,3740,4,D,NI,PD,D
15:08:00,PTBA,RG,3740,8,D,NI,PD,D
15:07:40,PTBA,RG,3740,1,D,NI,IP,D
15:07:39,PTBA,RG,3740,5,D,NI,BQ,D
15:06:16,PTBA,RG,3740,3,D,NI,NI,D
15:06:05,PTBA,RG,3740,37,D,NI,BQ,D
15:06:05,PTBA,RG,3740,6,D,YP,BQ,D
15:06:05,PTBA,RG,3740,29,D,NI,BQ,D
15:06:05,PTBA,RG,3740,10,D,CC,BQ,D
15:06:05,PTBA,RG,3740,100,D,KK,BQ,D
15:06:05,PTBA,RG,3740,1,D,NI,BQ,D
15:06:05,PTBA,RG,3740,18,D,NI,BQ,D
15:06:05,PTBA,RG,3740,20,D,PD,BQ,D
15:06:05,PTBA,RG,3740,1,D,XC,BQ,D
15:06:05,PTBA,RG,3740,2,D,YP,BQ,D
15:06:05,PTBA,RG,3740,100,D,KK,BQ,D
15:06:05,PTBA,RG,3740,2,D,YP,BQ,D
15:06:05,PTBA,RG,3740,1,D,XC,BQ,D
15:06:05,PTBA,RG,3740,5,D,YP,BQ,D
15:06:05,PTBA,RG,3740,3,D,PD,BQ,D
15:06:05,PTBA,RG,3740,1,D,NI,BQ,D
15:06:05,PTBA,RG,3740,1,F,CC,BQ,D
15:06:05,PTBA,RG,3740,10,D,YP,BQ,D
15:06:05,PTBA,RG,3740,2,D,NI,BQ,D
15:06:05,PTBA,RG,3740,1,D,PD,BQ,D
15:06:05,PTBA,RG,3740,50,D,GR,BQ,D
15:06:05,PTBA,RG,3740,4,D,SQ,BQ,D
15:06:05,PTBA,RG,3740,1,D,XC,BQ,D
15:06:05,PTBA,RG,3740,1,D,YP,BQ,D
15:06:05,PTBA,RG,3740,15,D,NI,BQ,D
15:06:05,PTBA,RG,3740,5,D,YU,BQ,D
15:06:05,PTBA,RG,3740,10,D,CC,BQ,D
15:06:05,PTBA,RG,3740,14,D,NI,BQ,D
15:05:59,PTBA,RG,3740,61,D,NI,GR,D
15:05:03,PTBA,RG,3740,1,D,NI,NI,D
15:04:55,PTBA,RG,3740,4,D,NI,CC,D
15:04:43,PTBA,RG,3740,1,D,NI,NI,D
15:04:29,PTBA,RG,3740,1,D,NI,NI,D
15:04:26,PTBA,RG,3740,10,D,NI,PD,D
15:04:19,PTBA,RG,3740,5,D,NI,YP,D
15:04:18,PTBA,RG,3740,21,D,NI,YP,D
15:04:10,PTBA,RG,3740,50,D,NI,YP,D
15:03:50,PTBA,RG,3740,5,D,NI,CC,D
15:03:22,PTBA,RG,3740,1,D,NI,DR,D
15:03:21,PTBA,RG,3740,8,D,NI,CC,D
15:03:14,PTBA,RG,3740,18,D,NI,YP,D
15:03:14,PTBA,RG,3740,32,D,NI,YP,D
15:03:07,PTBA,RG,3740,102,D,NI,YP,D
15:02:59,PTBA,RG,3740,1,D,NI,DH,D
15:02:52,PTBA,RG,3740,65,D,NI,DH,D
15:02:52,PTBA,RG,3740,2,D,PD,DH,D
15:02:52,PTBA,RG,3740,33,D,BQ,DH,D
15:02:46,PTBA,RG,3740,15,D,BQ,CC,D
15:01:59,PTBA,RG,3740,40,D,BQ,LG,D
15:01:28,PTBA,RG,3740,2,D,BQ,XC,D
15:01:04,PTBA,RG,3740,2,D,BQ,CC,D
