Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:14:48,TLKM,RG,3250,2,F,AK,DH,D
15:14:31,TLKM,RG,3250,20,F,AK,DH,D
15:14:14,TLKM,RG,3250,25,F,AK,YP,D
15:14:14,TLKM,RG,3250,15,F,AK,XC,D
15:13:36,TLKM,RG,3250,150,F,AK,YP,D
15:13:25,TLKM,RG,3250,100,F,AK,PD,D
15:13:15,TLKM,RG,3250,1000,F,AK,KK,D
15:13:11,TLKM,RG,3250,12,F,AK,PD,D
15:12:52,TLKM,RG,3250,3,F,AK,XC,D
15:12:11,TLKM,RG,3250,2,F,AK,PD,D
15:11:31,TLKM,RG,3250,1,F,AK,PD,D
15:11:19,TLKM,RG,3250,207,F,AK,DR,D
15:11:06,TLKM,RG,3250,1,F,AK,YJ,D
15:10:46,TLKM,RG,3250,1,F,AK,XC,D
15:10:36,TLKM,RG,3250,50,F,AK,YP,D
15:08:42,TLKM,RG,3250,3,F,AK,XC,D
15:08:28,TLKM,RG,3250,2,F,AK,DR,D
15:08:20,TLKM,RG,3250,5,F,AK,XC,D
15:08:05,TLKM,RG,3250,1000,F,AK,MG,D
15:07:57,TLKM,RG,3250,1,F,AK,PD,D
15:07:49,TLKM,RG,3250,2,F,AK,XC,D
15:06:50,TLKM,RG,3250,6,F,AK,PD,D
15:06:48,TLKM,RG,3250,10,F,AK,CC,D
15:06:43,TLKM,RG,3250,150,F,AK,CC,D
15:06:41,TLKM,RG,3250,60,F,AK,SQ,D
15:06:32,TLKM,RG,3250,22,F,AK,XC,D
15:05:56,TLKM,RG,3250,5,F,AK,DH,D
15:05:49,TLKM,RG,3250,20,F,AK,YP,D
15:05:22,TLKM,RG,3250,150,F,AK,OD,D
15:05:09,TLKM,RG,3250,3,F,AK,YP,D
15:05:05,TLKM,RG,3250,60,F,AK,SQ,D
15:05:05,TLKM,RG,3250,1,F,AK,SQ,D
15:05:04,TLKM,RG,3250,6093,F,AK,YP,D
15:05:04,TLKM,RG,3250,1,F,YP,YP,D
15:05:04,TLKM,RG,3250,11,D,NI,YP,D
15:05:04,TLKM,RG,3250,6,D,XC,YP,D
15:05:04,TLKM,RG,3250,60,D,PD,YP,D
15:05:04,TLKM,RG,3250,10,D,PD,YP,D
15:05:04,TLKM,RG,3250,3,D,SQ,YP,D
15:05:04,TLKM,RG,3250,1,D,XC,YP,D
15:05:04,TLKM,RG,3250,20,D,DR,YP,D
15:05:04,TLKM,RG,3250,7,D,LG,YP,D
15:05:04,TLKM,RG,3250,9,D,CC,YP,D
15:05:04,TLKM,RG,3250,1,D,DH,YP,D
15:05:04,TLKM,RG,3250,1,D,XC,YP,D
15:05:04,TLKM,RG,3250,12,D,XC,YP,D
15:05:04,TLKM,RG,3250,2,D,PD,YP,D
15:05:04,TLKM,RG,3250,1,D,XC,YP,D
15:05:04,TLKM,RG,3250,3,D,NI,YP,D
15:05:04,TLKM,RG,3250,500,D,YP,YP,D
15:05:04,TLKM,RG,3250,1,D,XC,YP,D
15:05:04,TLKM,RG,3250,10,D,SQ,YP,D
15:05:04,TLKM,RG,3250,1,D,YP,YP,D
15:05:04,TLKM,RG,3250,5,D,AT,YP,D
15:05:04,TLKM,RG,3250,5,D,CC,YP,D
15:05:04,TLKM,RG,3250,500,D,OD,YP,D
15:05:04,TLKM,RG,3250,615,D,OD,YP,D
15:05:04,TLKM,RG,3250,100,D,DX,YP,D
15:05:04,TLKM,RG,3250,6,D,YP,YP,D
15:05:04,TLKM,RG,3250,1,D,XC,YP,D
15:05:04,TLKM,RG,3250,2,D,XC,YP,D
15:05:04,TLKM,RG,3250,50,D,KK,YP,D
