Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:14:59,TLKM,RG,4400,1,D,XC,ZP,F
15:14:48,TLKM,RG,4400,6,D,KK,ZP,F
15:13:07,TLKM,RG,4400,1,D,YP,ZP,F
15:12:56,TLKM,RG,4400,1,D,KK,ZP,F
15:12:36,TLKM,RG,4400,1,D,NI,ZP,F
15:12:07,TLKM,RG,4400,20,D,XC,ZP,F
15:12:06,TLKM,RG,4400,1,D,NI,ZP,F
15:11:33,TLKM,RG,4400,1,D,XC,ZP,F
15:11:07,TLKM,RG,4400,2,D,YB,ZP,F
15:11:01,TLKM,RG,4400,1,D,YP,ZP,F
15:10:52,TLKM,RG,4400,15,D,IF,ZP,F
15:10:12,TLKM,RG,4400,2,D,XC,ZP,F
15:09:56,TLKM,RG,4400,1,D,XC,ZP,F
15:09:27,TLKM,RG,4400,4,D,OD,ZP,F
15:09:15,TLKM,RG,4400,2,D,XL,ZP,F
15:08:11,TLKM,RG,4400,1,D,XC,ZP,F
15:07:58,TLKM,RG,4400,6,D,PD,ZP,F
15:07:52,TLKM,RG,4400,1,D,XC,ZP,F
15:07:35,TLKM,RG,4400,1,D,DR,ZP,F
15:07:24,TLKM,RG,4400,50,D,SQ,ZP,F
15:07:17,TLKM,RG,4400,2,D,YP,ZP,F
15:06:55,TLKM,RG,4400,1,D,CC,ZP,F
15:06:45,TLKM,RG,4400,2,D,XC,ZP,F
15:06:39,TLKM,RG,4400,1,D,XC,ZP,F
15:06:33,TLKM,RG,4400,5,D,IF,ZP,F
15:06:23,TLKM,RG,4400,10,D,XC,ZP,F
15:05:55,TLKM,RG,4400,5,D,OD,ZP,F
15:05:55,TLKM,RG,4400,4,D,OD,XC,D
15:05:50,TLKM,RG,4400,1,D,YP,XC,D
15:05:18,TLKM,RG,4400,2,D,PD,XC,D
15:05:14,TLKM,RG,4400,1,D,YP,XC,D
15:05:14,TLKM,RG,4400,1,D,YP,XC,D
15:05:14,TLKM,RG,4400,10,D,YP,GR,D
15:05:14,TLKM,RG,4400,88,D,YP,ZP,D
15:05:01,TLKM,RG,4400,3,D,PD,ZP,D
15:04:58,TLKM,RG,4400,1,D,KK,ZP,D
15:04:53,TLKM,RG,4400,2,D,XC,ZP,D
15:03:59,TLKM,RG,4400,1,D,XC,ZP,D
15:03:59,TLKM,RG,4400,5,D,YP,ZP,D
15:03:37,TLKM,RG,4400,1,D,XC,PD,D
15:03:24,TLKM,RG,4400,1,D,PD,PD,D
15:03:22,TLKM,RG,4400,1,D,NI,PD,D
15:03:15,TLKM,RG,4400,1,D,XC,XC,D
15:03:15,TLKM,RG,4400,5,D,XC,SQ,D
15:03:01,TLKM,RG,4400,1,D,XC,GR,D
15:02:57,TLKM,RG,4400,2,D,XC,GR,D
15:02:50,TLKM,RG,4400,1,D,XC,GR,D
15:02:33,TLKM,RG,4400,1,D,PD,GR,D
15:02:33,TLKM,RG,4400,8,D,PD,YP,D
15:02:28,TLKM,RG,4400,2,D,YP,YP,D
15:02:28,TLKM,RG,4400,100,D,YP,YU,D
15:02:28,TLKM,RG,4400,3,D,YP,EP,D
15:02:28,TLKM,RG,4400,4,D,YP,KK,D
15:02:28,TLKM,RG,4400,25,D,YP,XC,D
15:02:28,TLKM,RG,4400,66,D,YP,KK,D
15:02:17,TLKM,RG,4400,1,D,XC,KK,D
15:02:11,TLKM,RG,4400,5,D,YP,KK,D
15:01:56,TLKM,RG,4400,2,D,YP,KK,D
15:01:55,TLKM,RG,4400,1,D,PD,KK,D
15:01:53,TLKM,RG,4400,14,D,YP,KK,D
15:01:44,TLKM,RG,4400,58,D,YU,KK,D
15:01:26,TLKM,RG,4400,2,D,GR,KK,D
15:01:16,TLKM,RG,4400,1,D,NI,KK,D
15:00:00,TLKM,RG,4400,22,D,TP,YU,F
15:00:00,TLKM,RG,4400,50,D,BQ,YU,F
15:00:00,TLKM,RG,4400,23,D,CC,YU,F
15:00:00,TLKM,RG,4400,4,D,YP,YU,F
15:00:00,TLKM,RG,4400,1,D,YB,YU,F
15:00:00,TLKM,RG,4400,11,D,CC,YU,F
15:00:00,TLKM,RG,4400,1,D,PD,YU,F
15:00:00,TLKM,RG,4400,1,D,PD,YU,F
15:00:00,TLKM,RG,4400,13611,F,ZP,YU,F
15:00:00,TLKM,RG,4400,2,F,ZP,YU,F
15:00:00,TLKM,RG,4400,667,F,RX,YU,F
15:00:00,TLKM,RG,4400,3,F,RX,XC,D
15:00:00,TLKM,RG,4400,18,F,RX,KK,D
15:00:00,TLKM,RG,4400,660,F,RX,YP,D
15:00:00,TLKM,RG,4400,5,F,RX,XC,D
15:00:00,TLKM,RG,4400,127,F,RX,YP,D
15:00:00,TLKM,RG,4400,3000,F,RX,YU,D
15:00:00,TLKM,RG,4400,20,F,RX,KK,D
15:00:00,TLKM,RG,4400,50,F,RX,DR,D
15:00:00,TLKM,RG,4400,1,F,RX,YB,D
15:00:00,TLKM,RG,4400,20,F,RX,XC,D
15:00:00,TLKM,RG,4400,13,F,RX,XC,D
15:00:00,TLKM,RG,4400,1,F,RX,PD,D
15:00:00,TLKM,RG,4400,85,F,RX,PC,D
15:00:00,TLKM,RG,4400,22,F,ZP,PC,D
15:00:00,TLKM,RG,4400,73,F,ZP,PC,D
15:00:00,TLKM,RG,4400,22,F,ZP,AT,D
15:00:00,TLKM,RG,4400,32,F,ZP,XC,D
15:00:00,TLKM,RG,4400,50,F,ZP,DX,D
15:00:00,TLKM,RG,4400,10,F,ZP,PD,D
15:00:00,TLKM,RG,4400,6,F,ZP,PD,D
15:00:00,TLKM,RG,4400,11,F,ZP,PD,D
15:00:00,TLKM,RG,4400,1,F,ZP,NI,D
15:00:00,TLKM,RG,4400,10,F,ZP,CC,D
15:00:00,TLKM,RG,4400,1,F,ZP,XC,D
15:00:00,TLKM,RG,4400,8,F,ZP,SQ,D
15:00:00,TLKM,RG,4400,2,F,ZP,XC,D
15:00:00,TLKM,RG,4400,5,F,ZP,NI,D
15:00:00,TLKM,RG,4400,1000,F,ZP,DR,D
15:00:00,TLKM,RG,4400,13,F,ZP,TP,D
15:00:00,TLKM,RG,4400,1,F,ZP,PD,D
15:00:00,TLKM,RG,4400,500,F,ZP,YP,D
15:00:00,TLKM,RG,4400,500,F,ZP,YP,D
15:00:00,TLKM,RG,4400,8,F,ZP,PD,D
15:00:00,TLKM,RG,4400,443,F,ZP,DR,D
15:00:00,TLKM,RG,4400,25,F,ZP,DR,D
15:00:00,TLKM,RG,4400,1,F,ZP,XC,D
15:00:00,TLKM,RG,4400,13,F,ZP,XC,D
