Time,Stock,Brd,Price,Qty,BT,BC,SC,ST
15:14:56,UNVR,RG,4900,2,D,YJ,XC,D
15:14:43,UNVR,RG,4900,1,D,YJ,YP,D
15:14:43,UNVR,RG,4900,60,D,YJ,CC,D
15:14:20,UNVR,RG,4900,1,D,YJ,PD,D
15:14:18,UNVR,RG,4900,59,D,YJ,KK,D
15:13:56,UNVR,RG,4900,1,D,YJ,CC,D
15:13:34,UNVR,RG,4900,30,D,YJ,KK,D
15:13:31,UNVR,RG,4900,100,D,YJ,YP,D
15:13:12,UNVR,RG,4900,3,D,YJ,ZP,D
15:12:31,UNVR,RG,4900,35,D,YJ,NI,D
15:12:31,UNVR,RG,4900,5,D,YJ,DX,D
15:12:31,UNVR,RG,4900,7,D,YJ,XC,D
15:12:31,UNVR,RG,4900,5,D,YJ,PD,D
15:12:31,UNVR,RG,4900,5,D,YJ,PD,D
15:12:31,UNVR,RG,4900,30,D,YJ,NI,D
15:12:31,UNVR,RG,4900,7,D,YJ,PD,D
15:12:31,UNVR,RG,4900,20,D,YJ,KK,D
15:12:31,UNVR,RG,4900,3,D,YJ,XL,D
15:12:31,UNVR,RG,4900,5,D,YJ,KK,D
15:12:31,UNVR,RG,4900,29,D,YJ,YP,D
15:12:31,UNVR,RG,4900,22,D,YJ,XC,D
15:12:31,UNVR,RG,4900,1,D,YJ,XL,D
15:12:31,UNVR,RG,4900,2,D,YJ,XC,D
15:12:31,UNVR,RG,4900,1,D,YJ,XC,D
15:12:31,UNVR,RG,4900,1,D,YJ,XC,D
15:12:31,UNVR,RG,4900,25,D,YJ,SQ,D
15:12:31,UNVR,RG,4900,2,D,YJ,XL,D
15:12:31,UNVR,RG,4900,30,D,YJ,TF,D
15:12:31,UNVR,RG,4900,1,D,YJ,YP,D
15:12:31,UNVR,RG,4900,1,D,YJ,YP,D
15:12:31,UNVR,RG,4900,1,D,YJ,XC,D
15:12:31,UNVR,RG,4900,10,D,YJ,DH,D
15:12:31,UNVR,RG,4900,1,D,YJ,XL,D
15:12:31,UNVR,RG,4900,5,D,YJ,XC,D
15:12:31,UNVR,RG,4900,100,D,YJ,MG,D
15:12:31,UNVR,RG,4900,3,D,YJ,PD,D
15:12:31,UNVR,RG,4900,40,D,YJ,DH,D
15:12:31,UNVR,RG,4900,50,D,YJ,PD,D
15:12:31,UNVR,RG,4900,5,D,YJ,YP,D
15:12:31,UNVR,RG,4900,3,D,YJ,XL,D
15:12:31,UNVR,RG,4900,2,D,YJ,DR,D
15:12:31,UNVR,RG,4900,1,D,YJ,CC,D
15:12:31,UNVR,RG,4900,239,D,YJ,PD,D
15:11:24,UNVR,RG,4900,4,F,AK,PD,D
15:11:23,UNVR,RG,4900,81,D,EP,PD,D
15:10:39,UNVR,RG,4900,1,F,AK,PD,D
15:10:38,UNVR,RG,4900,10,D,YB,PD,D
15:10:06,UNVR,RG,4900,57,F,AK,PD,D
15:10:05,UNVR,RG,4900,208,D,AO,PD,D
15:10:05,UNVR,RG,4900,3,D,AO,CC,D
15:10:05,UNVR,RG,4900,9,D,AO,NI,D
15:10:05,UNVR,RG,4900,2,D,AO,IF,D
15:10:05,UNVR,RG,4900,5,D,AO,YP,D
15:10:05,UNVR,RG,4900,5,D,AO,YP,D
15:10:05,UNVR,RG,4900,10,D,AO,DH,D
15:10:05,UNVR,RG,4900,1,D,AO,XC,D
15:10:05,UNVR,RG,4900,500,D,AO,IP,D
15:10:05,UNVR,RG,4900,10,D,AO,DR,D
15:10:05,UNVR,RG,4900,17,D,AO,YP,D
15:10:05,UNVR,RG,4900,37,D,AO,YB,D
15:10:05,UNVR,RG,4900,5,D,AO,YP,D
15:10:05,UNVR,RG,4900,1,D,AO,YP,D
15:10:05,UNVR,RG,4900,30,D,AO,KK,D
